"Date","Price","Open","High","Low","Vol.","Change %"
"21/04/2026","10,583.02","10,613.88","10,635.15","10,579.25","160.91M","-0.25%"
"20/04/2026","10,609.08","10,668.44","10,683.65","10,583.17","878.46M","-0.55%"
"17/04/2026","10,667.63","10,590.35","10,667.63","10,548.87","933.61M","0.73%"
"16/04/2026","10,589.99","10,559.58","10,645.90","10,555.53","647.64M","0.29%"
"15/04/2026","10,559.58","10,609.21","10,640.00","10,559.58","808.22M","-0.47%"
"14/04/2026","10,609.06","10,581.91","10,630.39","10,569.81","857.23M","0.25%"
"13/04/2026","10,582.96","10,601.45","10,607.69","10,528.57","1.07B","-0.17%"
"10/04/2026","10,600.53","10,603.55","10,657.56","10,576.01","1.10B","-0.03%"
"09/04/2026","10,603.48","10,609.57","10,643.61","10,552.94","679.91M","-0.05%"
"08/04/2026","10,608.88","10,345.93","10,687.88","10,345.93","1.38B","2.51%"
"07/04/2026","10,348.79","10,436.20","10,487.67","10,330.88","831.67M","-0.84%"
"02/04/2026","10,436.29","10,366.34","10,465.24","10,287.90","1.34B","0.69%"
"01/04/2026","10,364.79","10,174.94","10,396.60","10,169.30","1.12B","1.85%"
"31/03/2026","10,176.45","10,127.90","10,245.76","10,118.65","962.24M","0.48%"
"30/03/2026","10,127.96","9,967.47","10,135.09","9,958.05","952.28M","1.61%"
"27/03/2026","9,967.35","9,972.30","10,024.08","9,883.15","1.10B","-0.05%"
"26/03/2026","9,972.17","10,106.99","10,106.99","9,956.27","790.20M","-1.33%"
"25/03/2026","10,106.84","9,965.17","10,118.15","9,965.17","815.29M","1.42%"
"24/03/2026","9,965.16","9,893.96","9,972.72","9,839.20","1.19B","0.72%"
"23/03/2026","9,894.15","9,918.48","10,036.65","9,670.46","1.66B","-0.24%"